,Unnamed: 0,frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness,scaled-sound-pressure
489,489,1600,0,0.1524,39.6,0.00193287,131.013
551,551,4000,5.4,0.1524,71.3,0.00401199,121.431
1159,1159,3150,17.4,0.0254,71.3,0.016104,126.536
341,341,4000,4,0.2286,39.6,0.00473801,119.159
1025,1025,8000,4.8,0.0254,55.5,0.000873218,132.184
376,376,315,5.3,0.2286,39.6,0.00614329,129.691
1065,1065,4000,9.5,0.0254,71.3,0.00420654,134.236
1240,1240,630,0,0.1016,71.3,0.00121072,124.155
402,402,3150,7.3,0.2286,71.3,0.0104404,120.458
1341,1341,5000,3.3,0.1016,31.7,0.00251435,122.082
42,42,4000,0,0.3048,39.6,0.00310138,119.229
138,138,4000,3,0.3048,39.6,0.00495741,116.792
20,20,2000,0,0.3048,55.5,0.00283081,126.616
212,212,4000,0,0.2286,55.5,0.00229336,123.41
666,666,630,9.9,0.1524,39.6,0.0233328,126.465
1461,1461,500,12.3,0.1016,31.7,0.0418756,118.667
1176,1176,3150,17.4,0.0254,55.5,0.0165706,124.101
75,75,6300,1.5,0.3048,71.3,0.00336729,118.122
486,486,800,0,0.1524,39.6,0.00193287,127.903
1119,1119,1000,12.7,0.0254,71.3,0.0121808,131.698
123,123,5000,3,0.3048,55.5,0.00452492,117.309
315,315,20000,4,0.2286,71.3,0.00400603,109.638
313,313,12500,4,0.2286,71.3,0.00400603,114.258
130,130,630,3,0.3048,39.6,0.00495741,129.292
691,691,5000,9.9,0.1524,31.7,0.0252785,109.949
164,164,1600,4,0.3048,71.3,0.00497773,126.645
1207,1207,3150,17.4,0.0254,31.7,0.0176631,123.466
96,96,12500,1.5,0.3048,39.6,0.00392107,106.111
1343,1343,8000,3.3,0.1016,31.7,0.00251435,117.432
584,584,500,5.4,0.1524,31.7,0.00525474,129.681
90,90,3150,1.5,0.3048,39.6,0.00392107,119.111
370,370,4000,5.3,0.2286,71.3,0.0051942,120.33
571,571,630,5.4,0.1524,39.6,0.00485029,132.357
151,151,2500,3,0.3048,31.7,0.00529514,119.598
1234,1234,1600,22.2,0.0254,39.6,0.0229028,122.216
433,433,2500,7.3,0.2286,39.6,0.0123481,116.559
963,963,3150,0,0.0254,71.3,0.000400682,137.007
479,479,6300,0,0.1524,55.5,0.00172668,123.303
74,74,5000,1.5,0.3048,71.3,0.00336729,119.632
158,158,400,4,0.3048,71.3,0.00497773,129.575
464,464,8000,0,0.1524,71.3,0.0015988,122.527
949,949,250,19.7,0.0508,39.6,0.036484,127.224
1030,1030,500,4.8,,39.6,0.000907475,116.366
887,887,250,15.4,,55.5,0.0271925,124.17
592,592,3150,5.4,,31.7,0.00525474,118.291
214,214,6300,0,,55.5,0.00229336,118.41
1402,1402,1600,8.9,,39.6,0.0124596,123.82
1022,1022,4000,4.8,,55.5,0.000873218,133.924
978,978,8000,0,,55.5,0.00041229,136.163
839,839,3150,8.4,,31.7,0.00580776,122.086
59,59,2500,0,,31.7,0.00331266,120.755
668,668,1000,9.9,,39.6,0.0233328,123.835
1323,1323,1600,3.3,,39.6,0.00245138,133.071
410,410,500,7.3,,55.5,0.0111706,133.174
416,416,2000,7.3,,55.5,0.0111706,120.354
279,279,2000,2,,39.6,0.00346574,122.797
179,179,800,4,,39.6,0.00579636,130.723
1401,1401,1250,8.9,,39.6,0.0124596,127.71
119,119,2000,3,,55.5,0.00452492,123.069
970,970,16000,0,,71.3,0.000400682,130.477
445,445,1000,7.3,,31.7,0.0132672,119.099
0,0,800,0,,71.3,0.00266337,126.201
1463,1463,800,12.3,,31.7,0.0418756,120.037
1238,1238,4000,22.2,,39.6,0.0229028,119.646
181,181,1250,4,,39.6,0.00579636,126.343
18,18,1250,0,,55.5,0.00283081,126.086
502,502,1250,0,,31.7,0.00209405,131.467
1267,1267,12500,0,,55.5,0.00131983,119.91
656,656,2500,9.9,,55.5,0.0208438,118.365
532,532,2000,2.7,,39.6,0.00294804,128.139
394,394,500,7.3,,71.3,0.0104404,136.798
936,936,315,19.7,,71.3,0.0341183,121.235
334,334,800,4,,39.6,0.00473801,130.469
826,826,2000,8.4,,39.6,0.00566229,129.965
1412,1412,400,12.3,,71.3,0.0337792,139.428
124,124,6300,3,,55.5,0.00452492,115.679
97,97,400,3,,71.3,0.00425727,127.564
619,619,1250,7.2,,39.6,0.00909175,122.428
84,84,800,1.5,,39.6,0.00392107,128.831
1374,1374,1250,6.7,,31.7,0.00592927,129.256
1248,1248,4000,0,,71.3,0.00121072,130.935
165,165,2000,4,,71.3,0.00497773,124.395
937,937,400,19.7,,71.3,0.0341183,123.865
428,428,800,7.3,,39.6,0.0123481,126.299
153,153,4000,3,,31.7,0.00529514,115.608
772,772,5000,0,,31.7,0.000812164,133.23
55,55,1000,0,,31.7,0.00331266,127.365
1157,1157,2000,17.4,,71.3,0.016104,126.826
43,43,5000,0,,39.6,0.00310138,117.789
779,779,2500,4.2,,71.3,0.00142788,131.978
1361,1361,500,6.7,,39.6,0.00578076,130.955
987,987,4000,0,,39.6,0.000428464,135.346
1053,1053,4000,4.8,,31.7,0.000930789,135.328
539,539,10000,2.7,,39.6,0.00294804,112.589
500,500,800,0,,31.7,0.00209405,129.117
984,984,2000,0,,39.6,0.000428464,130.026
1200,1200,630,17.4,,31.7,0.0176631,136.886
924,924,800,15.4,,31.7,0.0289853,125.555
29,29,200,0,,39.6,0.00310138,118.129
355,355,2500,4,,31.7,0.00509068,120.209
199,199,16000,0,,71.3,0.00214345,114.984
1340,1340,4000,3.3,,31.7,0.00251435,124.852
1077,1077,3150,9.5,,55.5,0.0043284,133.252
1268,1268,630,0,,39.6,0.00146332,125.401
1179,1179,6300,17.4,,55.5,0.0165706,114.861
1143,1143,5000,12.7,,39.6,0.0130253,125.107
849,849,1250,11.2,,71.3,0.014072,136.191
1413,1413,500,12.3,,71.3,0.0337792,140.158
1266,1266,10000,0,,55.5,0.00131983,121.93
1312,1312,2500,3.3,,55.5,0.002211,132.889
982,982,20000,0,,55.5,0.00041229,121.933
1152,1152,630,17.4,,71.3,0.016104,122.606
265,265,2000,2,,55.5,0.00313525,124.612
632,632,400,9.9,,71.3,0.0193001,135.079
1325,1325,2500,3.3,,39.6,0.00245138,130.791
1125,1125,4000,12.7,,71.3,0.0121808,131.808
474,474,2000,0,,55.5,0.00172668,129.673
95,95,10000,1.5,,39.6,0.00392107,108.991
154,154,5000,3,,31.7,0.00529514,113.858
750,750,12500,0,,55.5,0.00076193,125.376
631,631,315,9.9,,71.3,0.0193001,135.459
1187,1187,1000,17.4,,39.6,0.0172206,138.274
831,831,500,8.4,,31.7,0.00580776,122.966
684,684,1000,9.9,,31.7,0.0252785,122.149
1451,1451,2000,12.3,,39.6,0.0408268,114.085
343,343,6300,4,,39.6,0.00473801,114.249
886,886,200,15.4,,55.5,0.0271925,122.94
302,302,1000,4,,71.3,0.00400603,131.708
254,254,5000,2,,71.3,0.00293031,122.816
915,915,4000,15.4,,39.6,0.0282593,118.113
1069,1069,500,9.5,,55.5,0.0043284,123.082
1115,1115,400,12.7,,71.3,0.0121808,125.048
6,6,3150,0,,71.3,0.00266337,125.201
942,942,1250,19.7,,71.3,0.0341183,121.485
1439,1439,5000,12.3,,55.5,0.0368233,112.014
143,143,400,3,,31.7,0.00529514,125.398
27,27,10000,0,,55.5,0.00283081,113.076
869,869,200,15.4,,71.3,0.0264269,123.595
1161,1161,5000,17.4,,71.3,0.016104,123.126
1216,1216,1250,22.2,,71.3,0.0214178,140.987
1005,1005,12500,0,,31.7,0.000439472,128.977
247,247,1000,2,,71.3,0.00293031,128.956
152,152,3150,3,,31.7,0.00529514,118.108
1084,1084,400,9.5,,39.6,0.00449821,121.154
639,639,2000,9.9,,71.3,0.0193001,120.779
1395,1395,315,8.9,,39.6,0.0124596,135.38
359,359,6300,4,,31.7,0.00509068,112.699
1225,1225,200,22.2,,39.6,0.0229028,116.066
1497,1497,2000,15.6,,39.6,0.0528487,110.894
813,813,1600,8.4,,55.5,0.00544854,133.032
828,828,3150,8.4,,39.6,0.00566229,123.965
1241,1241,800,0,,71.3,0.00121072,126.805
898,898,3150,15.4,,55.5,0.0271925,123.46
1324,1324,2000,3.3,,39.6,0.00245138,132.301
833,833,800,8.4,,31.7,0.00580776,128.246
993,993,16000,0,,39.6,0.000428464,124.986
870,870,250,15.4,,71.3,0.0264269,124.835
1126,1126,5000,12.7,,71.3,0.0121808,128.978
739,739,1000,0,,55.5,0.00076193,125.586
1180,1180,200,17.4,,39.6,0.0172206,114.044
100,100,800,3,,71.3,0.00425727,129.494
805,805,4000,8.4,,71.3,0.00529514,126.926
127,127,315,3,,39.6,0.00495741,123.312
907,907,630,15.4,,39.6,0.0282593,127.443
1335,1335,1250,3.3,,31.7,0.00251435,134.022
816,816,3150,8.4,,55.5,0.00544854,128.402
1128,1128,8000,12.7,,71.3,0.0121808,120.538
1001,1001,5000,0,,31.7,0.000439472,138.607
547,547,1600,5.4,,71.3,0.00401199,133.241
780,780,3150,4.2,,71.3,0.00142788,133.728
586,586,800,5.4,,31.7,0.00525474,131.491
186,186,4000,4,,39.6,0.00579636,115.863
911,911,1600,15.4,,39.6,0.0282593,124.843
159,159,500,4,,71.3,0.00497773,130.715
1464,1464,1000,12.3,,31.7,0.0418756,119.777
939,939,630,19.7,,71.3,0.0341183,128.365
725,725,800,0,,71.3,0.000740478,130.96
1117,1117,630,12.7,,71.3,0.0121808,128.878
1337,1337,2000,3.3,,31.7,0.00251435,131.642
371,371,5000,5.3,,71.3,0.0051942,118.05
1485,1485,3150,15.6,,71.3,0.0437259,116.468
170,170,6300,4,,71.3,0.00497773,116.165
640,640,2500,9.9,,71.3,0.0193001,119.639
98,98,500,3,,71.3,0.00425727,128.454
1363,1363,800,6.7,,39.6,0.00578076,134.625
453,453,6300,7.3,,31.7,0.0132672,110.689
79,79,16000,1.5,,71.3,0.00336729,106.582
1229,1229,500,22.2,,39.6,0.0229028,129.776
383,383,1600,5.3,,39.6,0.00614329,123.081
941,941,1000,19.7,,71.3,0.0341183,121.885
718,718,1600,12.6,,39.6,0.0584113,110.78
533,533,2500,2.7,,39.6,0.00294804,125.589
328,328,6300,4,,55.5,0.0042862,117.154
157,157,315,4,,71.3,0.00497773,128.175
1199,1199,500,17.4,,31.7,0.0176631,127.676
110,110,8000,3,,71.3,0.00425727,114.634
1236,1236,2500,22.2,,39.6,0.0229028,121.306
1371,1371,630,6.7,,31.7,0.00592927,132.116
72,72,3150,1.5,,71.3,0.00336729,123.392
1079,1079,5000,9.5,,55.5,0.0043284,128.412
275,275,800,2,,39.6,0.00346574,129.037
1181,1181,250,17.4,,39.6,0.0172206,114.714
1265,1265,8000,0,,55.5,0.00131983,124.45
414,414,1250,7.3,,55.5,0.0111706,125.724
540,540,12500,2.7,,39.6,0.00294804,108.649
1250,1250,6300,0,,71.3,0.00121072,129.395
1099,1099,315,9.5,,31.7,0.00461377,122.766
348,348,500,4,,31.7,0.00509068,128.939
1106,1106,1600,9.5,,31.7,0.00461377,131.036
173,173,12500,4,,71.3,0.00497773,107.405
104,104,2000,3,,71.3,0.00425727,125.524
1327,1327,4000,3.3,,39.6,0.00245138,124.881
56,56,1250,0,,31.7,0.00331266,124.355
218,218,630,0,,39.6,0.00253511,128.705
1091,1091,2000,9.5,,39.6,0.00449821,131.274
282,282,4000,2,,39.6,0.00346574,120.227
163,163,1250,4,,71.3,0.00497773,129.395
675,675,5000,9.9,,39.6,0.0233328,111.135
1450,1450,1600,12.3,,39.6,0.0408268,117.875
236,236,1600,0,,31.7,0.0027238,125.625
63,63,6300,0,,31.7,0.00331266,113.775
495,495,6300,0,,39.6,0.00193287,121.313
773,773,6300,0,,31.7,0.000812164,130.34
308,308,4000,4,,71.3,0.00400603,121.728
1421,1421,3150,12.3,,71.3,0.0337792,120.798
405,405,6300,7.3,,71.3,0.0104404,115.818
116,116,1000,3,,55.5,0.00452492,129.329
965,965,5000,0,,71.3,0.000400682,136.837
1334,1334,1000,3.3,,31.7,0.00251435,133.012
1446,1446,630,12.3,,39.6,0.0408268,121.315
1186,1186,800,17.4,,39.6,0.0172206,135.324
726,726,1000,0,,71.3,0.000740478,129.45
1044,1044,500,4.8,,31.7,0.000930789,116.128
397,397,1000,7.3,,71.3,0.0104404,126.838
1237,1237,3150,22.2,,39.6,0.0229028,120.856
1286,1286,2000,0,,31.7,0.00150092,133.153
1027,1027,12500,4.8,,55.5,0.000873218,125.094
980,980,12500,0,,55.5,0.00041229,131.453
1364,1364,1000,6.7,,39.6,0.00578076,134.515
1382,1382,630,8.9,,71.3,0.0103088,138.423
732,732,4000,0,,71.3,0.000740478,134.43
719,719,2000,12.6,,39.6,0.0584113,109.52
189,189,1600,0,,71.3,0.00214345,129.134
392,392,315,7.3,,71.3,0.0104404,139.808
793,793,4000,4.2,,39.6,0.00152689,131.807
1155,1155,1250,17.4,,71.3,0.016104,126.356
259,259,500,2,,55.5,0.00313525,124.692
655,655,2000,9.9,,55.5,0.0208438,119.505
220,220,1000,0,,39.6,0.00253511,130.435
1067,1067,6300,9.5,,71.3,0.00420654,127.246
697,697,500,12.6,,71.3,0.0483159,121.664
1195,1195,200,17.4,,31.7,0.0176631,116.146
623,623,3150,7.2,,39.6,0.00909175,111.818
1300,1300,3150,3.3,,71.3,0.00202822,132.114
192,192,3150,0,,71.3,0.00214345,127.834
1014,1014,10000,4.8,,71.3,0.000848633,127.398
1162,1162,6300,17.4,,71.3,0.016104,119.916
1496,1496,1600,15.6,,39.6,0.0528487,114.554
526,526,500,2.7,,39.6,0.00294804,121.009
1189,1189,1600,17.4,,39.6,0.0172206,127.614
885,885,8000,15.4,,71.3,0.0264269,112.675
399,399,1600,7.3,,71.3,0.0104404,125.728
778,778,2000,4.2,,71.3,0.00142788,129.848
8,8,5000,0,,71.3,0.00266337,121.301
223,223,2000,0,,39.6,0.00253511,125.305
804,804,3150,8.4,,71.3,0.00529514,131.966
1082,1082,250,9.5,,39.6,0.00449821,116.924
483,483,16000,0,,55.5,0.00172668,112.803
882,882,4000,15.4,,71.3,0.0264269,122.675
1121,1121,1600,12.7,,71.3,0.0121808,134.528
1052,1052,3150,4.8,,31.7,0.000930789,134.268
1013,1013,8000,4.8,,71.3,0.000848633,131.518
854,854,4000,11.2,,71.3,0.014072,122.471
193,193,4000,0,,71.3,0.00214345,125.824
1448,1448,1000,12.3,,39.6,0.0408268,122.435
48,48,200,0,,31.7,0.00331266,117.195
1023,1023,5000,4.8,,55.5,0.000873218,135.484
628,628,10000,7.2,,39.6,0.00909175,110.868
205,205,800,0,,55.5,0.00229336,127.53
601,601,1000,7.2,,71.3,0.00752039,134.273
1424,1424,6300,12.3,,71.3,0.0337792,113.958
379,379,630,5.3,,39.6,0.00614329,132.011
1459,1459,315,12.3,,31.7,0.0418756,124.717
106,106,3150,3,,71.3,0.00425727,121.514
187,187,5000,4,,39.6,0.00579636,113.733
776,776,12500,0,,31.7,0.000812164,119.07
1061,1061,1600,9.5,,71.3,0.00420654,133.756
952,952,500,19.7,,39.6,0.036484,128.444
461,461,4000,0,,71.3,0.0015988,128.857
644,644,6300,9.9,,71.3,0.0193001,112.039
264,264,1600,2,,55.5,0.00313525,126.752
1221,1221,4000,22.2,,71.3,0.0214178,123.917
224,224,2500,0,,39.6,0.00253511,125.025
162,162,1000,4,,71.3,0.00497773,131.015
544,544,800,5.4,,71.3,0.00401199,131.281
881,881,3150,15.4,,71.3,0.0264269,125.715
661,661,200,9.9,,39.6,0.0233328,127.315
1051,1051,2500,4.8,,31.7,0.000930789,132.588
514,514,1250,2.7,,71.3,0.00243851,130.144
1438,1438,4000,12.3,,55.5,0.0368233,114.404
45,45,8000,0,,39.6,0.00310138,114.779
412,412,800,7.3,,55.5,0.0111706,128.444
1201,1201,800,17.4,,31.7,0.0176631,139.226
600,600,800,7.2,,71.3,0.00752039,136.023
1458,1458,250,12.3,,31.7,0.0418756,125.857
850,850,1600,11.2,,71.3,0.014072,135.191
146,146,800,3,,31.7,0.00529514,128.708
172,172,10000,4,,71.3,0.00497773,110.905
1264,1264,6300,0,,55.5,0.00131983,127.73
875,875,800,15.4,,71.3,0.0264269,131.515
1198,1198,400,17.4,,31.7,0.0176631,120.766
460,460,3150,0,,71.3,0.0015988,129.377
117,117,1250,3,,55.5,0.00452492,127.329
614,614,400,7.2,,39.6,0.00909175,132.118
1355,1355,1000,6.7,,55.5,0.0052139,137.233
301,301,800,4,,71.3,0.00400603,130.688
274,274,630,2,,39.6,0.00346574,127.417
554,554,400,5.4,,55.5,0.00433288,126.807
521,521,6300,2.7,,71.3,0.00243851,121.944
1235,1235,2000,22.2,,39.6,0.0229028,121.256
637,637,1250,9.9,,71.3,0.0193001,122.679
971,971,20000,0,,71.3,0.000400682,123.217
320,320,1000,4,,55.5,0.0042862,132.134
1347,1347,1250,6.7,,71.3,0.00478288,137.658
1301,1301,4000,3.3,,71.3,0.00202822,128.704
1425,1425,200,12.3,,55.5,0.0368233,132.304
168,168,4000,4,,71.3,0.00497773,119.535
602,602,1250,7.2,,71.3,0.00752039,132.513
472,472,1250,0,,55.5,0.00172668,129.953
856,856,250,11.2,,39.6,0.0150478,126.43
975,975,4000,0,,55.5,0.00041229,133.223
1035,1035,1600,4.8,,39.6,0.000907475,125.966
852,852,2500,11.2,,71.3,0.014072,130.541
1163,1163,8000,17.4,,71.3,0.016104,115.466
398,398,1250,7.3,,71.3,0.0104404,127.358
210,210,2500,0,,55.5,0.00229336,126.54
1315,1315,5000,3.3,,55.5,0.002211,124.839
1271,1271,1250,0,,39.6,0.00146332,132.271
335,335,1000,4,,39.6,0.00473801,129.969
728,728,1600,0,,71.3,0.000740478,129.68
447,447,1600,7.3,,31.7,0.0132672,119.039
176,176,400,4,,39.6,0.00579636,128.633
919,919,250,15.4,,31.7,0.0289853,121.225
1224,1224,8000,22.2,,71.3,0.0214178,121.657
786,786,12500,4.2,,71.3,0.00142788,117.328
134,134,1600,3,,39.6,0.00495741,122.782
871,871,315,15.4,,71.3,0.0264269,126.195
705,705,3150,12.6,,71.3,0.0483159,113.334
137,137,3150,3,,39.6,0.00495741,118.922
76,76,8000,1.5,,71.3,0.00336729,115.372
385,385,2500,5.3,,39.6,0.00614329,116.151
194,194,5000,0,,71.3,0.00214345,124.304
1357,1357,1600,6.7,,55.5,0.0052139,133.653
1311,1311,2000,3.3,,55.5,0.002211,133.649
222,222,1600,0,,39.6,0.00253511,127.095
560,560,1600,5.4,,55.5,0.00433288,130.567
1379,1379,315,8.9,,71.3,0.0103088,136.583
260,260,630,2,,55.5,0.00313525,126.842
415,415,1600,7.3,,55.5,0.0111706,123.354
1501,1501,5000,15.6,,39.6,0.0528487,106.224
1322,1322,1250,3.3,,39.6,0.00245138,133.211
155,155,6300,3,,31.7,0.00529514,109.718
278,278,1600,2,,39.6,0.00346574,125.837
567,567,8000,5.4,,55.5,0.00433288,114.927
595,595,6300,5.4,,31.7,0.00525474,115.591
722,722,4000,12.6,,39.6,0.0584113,104.5
1288,1288,3150,0,,31.7,0.00150092,129.973
528,528,800,2.7,,39.6,0.00294804,128.829
822,822,800,8.4,,39.6,0.00566229,128.435
894,894,1250,15.4,,55.5,0.0271925,130
874,874,630,15.4,,71.3,0.0264269,129.645
1372,1372,800,6.7,,31.7,0.00592927,132.886
1328,1328,5000,3.3,,39.6,0.00245138,122.371
1481,1481,1250,15.6,,71.3,0.0437259,123.178
1213,1213,630,22.2,,71.3,0.0214178,120.657
1418,1418,1600,12.3,,71.3,0.0337792,124.748
49,49,250,0,,31.7,0.00331266,118.595
108,108,5000,3,,71.3,0.00425727,118.134
73,73,4000,1.5,,71.3,0.00336729,121.762
304,304,1600,4,,71.3,0.00400603,129.468
1270,1270,1000,0,,39.6,0.00146332,130.781
356,356,3150,4,,31.7,0.00509068,120.229
1415,1415,800,12.3,,71.3,0.0337792,127.318
1094,1094,4000,9.5,,39.6,0.00449821,127.864
548,548,2000,5.4,,71.3,0.00401199,131.111
733,733,5000,0,,71.3,0.000740478,134.43
923,923,630,15.4,,31.7,0.0289853,124.685
129,129,500,3,,39.6,0.00495741,127.632
578,578,3150,5.4,,39.6,0.00485029,119.137
1457,1457,200,12.3,,31.7,0.0418756,124.987
720,720,2500,12.6,,39.6,0.0584113,106.88
277,277,1250,2,,39.6,0.00346574,128.257
512,512,800,2.7,,71.3,0.00243851,127.394
538,538,8000,2.7,,39.6,0.00294804,116.659
105,105,2500,3,,71.3,0.00425727,124.024
785,785,10000,4.2,,71.3,0.00142788,121.238
1127,1127,6300,12.7,,71.3,0.0121808,125.398
760,760,6300,0,,39.6,0.000791822,131.918
593,593,4000,5.4,,31.7,0.00525474,116.181
754,754,1600,0,,39.6,0.000791822,130.908
269,269,5000,2,,55.5,0.00313525,120.472
731,731,3150,0,,71.3,0.000740478,135.07
717,717,1250,12.6,,39.6,0.0584113,112.16
995,995,1250,0,,31.7,0.000439472,127.947
1087,1087,800,9.5,,39.6,0.00449821,129.014
1131,1131,315,12.7,,39.6,0.0130253,123.537
1414,1414,630,12.3,,71.3,0.0337792,135.368
60,60,3150,0,,31.7,0.00331266,119.135
574,574,1250,5.4,,39.6,0.00485029,127.117
496,496,8000,0,,39.6,0.00193287,120.553
148,148,1250,3,,31.7,0.00529514,124.838
57,57,1600,0,,31.7,0.00331266,122.365
71,71,2500,1.5,,71.3,0.00336729,124.512
968,968,10000,0,,71.3,0.000400682,130.787
545,545,1000,5.4,,71.3,0.00401199,133.201
1076,1076,2500,9.5,,55.5,0.0043284,134.152
246,246,800,2,,71.3,0.00293031,128.216
531,531,1600,2.7,,39.6,0.00294804,130.049
916,916,5000,15.4,,39.6,0.0282593,114.453
1375,1375,1600,6.7,,31.7,0.00592927,124.346
577,577,2500,5.4,,39.6,0.00485029,120.497
588,588,1250,5.4,,31.7,0.00525474,123.991
1396,1396,400,8.9,,39.6,0.0124596,135.54
909,909,1000,15.4,,39.6,0.0282593,127.893
271,271,315,2,,39.6,0.00346574,120.137
481,481,10000,0,,55.5,0.00172668,119.253
268,268,4000,2,,55.5,0.00313525,122.232
959,959,2500,19.7,,39.6,0.036484,116.184
294,294,2500,2,,31.7,0.00372371,121.407
1096,1096,6300,9.5,,39.6,0.00449821,120.324
1480,1480,1000,15.6,,71.3,0.0437259,124.438
1202,1202,1000,17.4,,31.7,0.0176631,131.796
292,292,1600,2,,31.7,0.00372371,125.797
491,491,2500,0,,39.6,0.00193287,126.863
1298,1298,2000,3.3,,71.3,0.00202822,134.034
195,195,6300,0,,71.3,0.00214345,122.044
1156,1156,1600,17.4,,71.3,0.016104,126.406
142,142,315,3,,31.7,0.00529514,123.118
374,374,10000,5.3,,71.3,0.0051942,111.35
541,541,400,5.4,,71.3,0.00401199,124.121
1435,1435,2000,12.3,,55.5,0.0368233,118.564
771,771,4000,0,,31.7,0.000812164,134.11
1029,1029,20000,4.8,,55.5,0.000873218,121.284
406,406,200,7.3,,55.5,0.0111706,135.234
1410,1410,250,12.3,,71.3,0.0337792,131.568
775,775,10000,0,,31.7,0.000812164,122.45
559,559,1250,5.4,,55.5,0.00433288,130.777
1262,1262,4000,0,,55.5,0.00131983,129.5
864,864,1600,11.2,,39.6,0.0150478,126.54
125,125,8000,3,,55.5,0.00452492,113.799
1012,1012,6300,4.8,,71.3,0.000848633,134.498
651,651,800,9.9,,55.5,0.0208438,126.565
1391,1391,5000,8.9,,71.3,0.0103088,116.723
267,267,3150,2,,55.5,0.00313525,123.742
1039,1039,4000,4.8,,39.6,0.000907475,134.996
769,769,2500,0,,31.7,0.000812164,134.87
1193,1193,4000,17.4,,39.6,0.0172206,122.724
375,375,250,5.3,,39.6,0.00614329,127.011
636,636,1000,9.9,,71.3,0.0193001,126.349
487,487,1000,0,,39.6,0.00193287,130.033
1299,1299,2500,3.3,,71.3,0.00202822,133.894
517,517,2500,2.7,,71.3,0.00243851,128.334
1006,1006,16000,0,,31.7,0.000439472,125.627
1086,1086,630,9.5,,39.6,0.00449821,126.514
1160,1160,4000,17.4,,71.3,0.016104,125.586
121,121,3150,3,,55.5,0.00452492,120.189
1442,1442,250,12.3,,39.6,0.0408268,129.675
1064,1064,3150,9.5,,71.3,0.00420654,136.166
795,795,6300,4.2,,39.6,0.00152689,125.717
626,626,6300,7.2,,39.6,0.00909175,112.688
530,530,1250,2.7,,39.6,0.00294804,130.829
272,272,400,2,,39.6,0.00346574,122.147
409,409,400,7.3,,55.5,0.0111706,135.924
395,395,630,7.3,,71.3,0.0104404,133.768
1247,1247,3150,0,,71.3,0.00121072,131.955
867,867,3150,11.2,,39.6,0.0150478,119.67
1295,1295,1000,3.3,,71.3,0.00202822,131.434
1359,1359,2500,6.7,,55.5,0.0052139,124.273
812,812,1250,8.4,,55.5,0.00544854,132.252
556,556,630,5.4,,55.5,0.00433288,131.807
896,896,2000,15.4,,55.5,0.0271925,127.04
1192,1192,3150,17.4,,39.6,0.0172206,123.564
1033,1033,1000,4.8,,39.6,0.000907475,122.956
1317,1317,8000,3.3,,55.5,0.002211,120.569
1294,1294,800,3.3,,71.3,0.00202822,131.074
557,557,800,5.4,,55.5,0.00433288,133.097
497,497,10000,0,,39.6,0.00193287,115.413
962,962,2500,0,,71.3,0.000400682,133.707
1500,1500,4000,15.6,,39.6,0.0528487,106.604
337,337,1600,4,,39.6,0.00473801,125.319
1302,1302,5000,3.3,,71.3,0.00202822,127.054
1423,1423,5000,12.3,,71.3,0.0337792,116.108
122,122,4000,3,,55.5,0.00452492,118.689
1476,1476,400,15.6,,71.3,0.0437259,134.058
87,87,1600,1.5,,39.6,0.00392107,122.211
126,126,10000,3,,55.5,0.00452492,112.169
891,891,630,15.4,,55.5,0.0271925,129.33
1055,1055,6300,4.8,,31.7,0.000930789,132.898
